市区町村コード,Level1_Name,Level2_Name,都道府県,市区町村,市区町村詳細,緯度,経度
29342,奈良県生駒郡,奈良県生駒郡平群町,奈良県,生駒郡,平群町,34.629174,135.700654
29343,奈良県生駒郡,奈良県生駒郡三郷町,奈良県,生駒郡,三郷町,34.600138,135.695525
29344,奈良県生駒郡,奈良県生駒郡斑鳩町,奈良県,生駒郡,斑鳩町,34.608849,135.730591
29345,奈良県生駒郡,奈良県生駒郡安堵町,奈良県,生駒郡,安堵町,34.60648,135.756781
29361,奈良県磯城郡,奈良県磯城郡川西町,奈良県,磯城郡,川西町,34.584394,135.774038
29362,奈良県磯城郡,奈良県磯城郡三宅町,奈良県,磯城郡,三宅町,34.573698,135.773144
29363,奈良県磯城郡,奈良県磯城郡田原本町,奈良県,磯城郡,田原本町,34.556601,135.794876
29385,奈良県宇陀郡,奈良県宇陀郡曽爾村,奈良県,宇陀郡,曽爾村,34.510647,136.124478
29386,奈良県宇陀郡,奈良県宇陀郡御杖村,奈良県,宇陀郡,御杖村,34.488389,136.165916
29401,奈良県高市郡,奈良県高市郡高取町,奈良県,高市郡,高取町,34.449513,135.793175
29402,奈良県高市郡,奈良県高市郡明日香村,奈良県,高市郡,明日香村,34.471278,135.820641
29424,奈良県北葛城郡,奈良県北葛城郡上牧町,奈良県,北葛城郡,上牧町,34.562749,135.716629
29425,奈良県北葛城郡,奈良県北葛城郡王寺町,奈良県,北葛城郡,王寺町,34.594725,135.706551
29426,奈良県北葛城郡,奈良県北葛城郡広陵町,奈良県,北葛城郡,広陵町,34.542784,135.750835
29427,奈良県北葛城郡,奈良県北葛城郡河合町,奈良県,北葛城郡,河合町,34.578472,135.736672
29441,奈良県吉野郡,奈良県吉野郡吉野町,奈良県,吉野郡,吉野町,34.396049,135.857618
29442,奈良県吉野郡,奈良県吉野郡大淀町,奈良県,吉野郡,大淀町,34.390562,135.789716
29443,奈良県吉野郡,奈良県吉野郡下市町,奈良県,吉野郡,下市町,34.360981,135.791858
29444,奈良県吉野郡,奈良県吉野郡黒滝村,奈良県,吉野郡,黒滝村,34.309307,135.852142
29446,奈良県吉野郡,奈良県吉野郡天川村,奈良県,吉野郡,天川村,34.241909,135.855149
29447,奈良県吉野郡,奈良県吉野郡野迫川村,奈良県,吉野郡,野迫川村,34.166257,135.633063
29449,奈良県吉野郡,奈良県吉野郡十津川村,奈良県,吉野郡,十津川村,33.988495,135.792415
29450,奈良県吉野郡,奈良県吉野郡下北山村,奈良県,吉野郡,下北山村,34.005038,135.955167
29451,奈良県吉野郡,奈良県吉野郡上北山村,奈良県,吉野郡,上北山村,34.134322,135.999988
29452,奈良県吉野郡,奈良県吉野郡川上村,奈良県,吉野郡,川上村,34.338107,135.954325
